StationNumber;ForkLengthinmillimeters;Location
4;84;other_site_by_the_river
4;88;other_site_by_the_river
4;89;other_site_by_the_river
4;90;other_site_by_the_river
4;90;other_site_by_the_river
4;91;other_site_by_the_river
4;91;other_site_by_the_river
4;96;other_site_by_the_river
4;96;other_site_by_the_river
4;98;other_site_by_the_river
4;99;other_site_by_the_river
4;100;other_site_by_the_river
4;100;other_site_by_the_river
4;101;other_site_by_the_river
4;102;other_site_by_the_river
4;103;other_site_by_the_river
4;103;other_site_by_the_river
4;105;other_site_by_the_river
4;105;other_site_by_the_river
4;105;other_site_by_the_river
4;107;other_site_by_the_river
5;60;other_site_by_the_river
5;65;other_site_by_the_river
5;66;other_site_by_the_river
5;66;other_site_by_the_river
5;71;other_site_by_the_river
5;77;other_site_by_the_river
5;78;other_site_by_the_river
5;82;other_site_by_the_river
5;83;other_site_by_the_river
5;84;other_site_by_the_river
5;85;other_site_by_the_river
5;85;other_site_by_the_river
5;86;other_site_by_the_river
5;86;other_site_by_the_river
5;87;other_site_by_the_river
5;88;other_site_by_the_river
5;88;other_site_by_the_river
5;89;other_site_by_the_river
5;90;other_site_by_the_river
5;90;other_site_by_the_river
5;91;other_site_by_the_river
5;92;other_site_by_the_river
5;92;other_site_by_the_river
5;92;other_site_by_the_river
5;93;other_site_by_the_river
5;95;other_site_by_the_river
5;98;other_site_by_the_river
5;99;other_site_by_the_river
5;99;other_site_by_the_river
5;100;other_site_by_the_river
5;101;other_site_by_the_river
5;101;other_site_by_the_river
5;101;other_site_by_the_river
5;106;other_site_by_the_river
6;68;other_site_by_the_river
6;69;other_site_by_the_river
6;74;other_site_by_the_river
6;75;other_site_by_the_river
6;78;other_site_by_the_river
6;79;other_site_by_the_river
6;79;other_site_by_the_river
6;79;other_site_by_the_river
6;81;other_site_by_the_river
6;82;other_site_by_the_river
6;82;other_site_by_the_river
6;85;other_site_by_the_river
6;85;other_site_by_the_river
6;86;other_site_by_the_river
6;87;other_site_by_the_river
6;89;other_site_by_the_river
6;89;other_site_by_the_river
6;95;other_site_by_the_river
6;96;other_site_by_the_river
6;96;other_site_by_the_river
6;97;other_site_by_the_river
6;98;other_site_by_the_river
6;98;other_site_by_the_river
6;99;other_site_by_the_river
6;99;other_site_by_the_river
6;101;other_site_by_the_river
6;101;other_site_by_the_river
6;102;other_site_by_the_river
6;102;other_site_by_the_river
6;102;other_site_by_the_river
6;103;other_site_by_the_river
6;103;other_site_by_the_river
6;105;other_site_by_the_river
6;105;other_site_by_the_river
6;105;other_site_by_the_river
6;105;other_site_by_the_river
6;105;other_site_by_the_river
6;106;other_site_by_the_river
6;108;other_site_by_the_river
7;71;other_site_by_the_river
7;73;other_site_by_the_river
7;76;other_site_by_the_river
7;80;other_site_by_the_river
7;85;other_site_by_the_river
7;89;other_site_by_the_river
7;90;other_site_by_the_river
7;91;other_site_by_the_river
7;91;other_site_by_the_river
7;91;other_site_by_the_river
7;93;other_site_by_the_river
7;93;other_site_by_the_river
7;93;other_site_by_the_river
7;96;other_site_by_the_river
7;100;other_site_by_the_river
7;102;other_site_by_the_river
8;73;other_site_by_the_river
8;74;other_site_by_the_river
8;80;other_site_by_the_river
8;81;other_site_by_the_river
8;83;other_site_by_the_river
8;89;other_site_by_the_river
8;90;other_site_by_the_river
8;108;other_site_by_the_river
9;67;other_site_by_the_river
9;69;other_site_by_the_river
9;71;other_site_by_the_river
9;80;other_site_by_the_river
9;81;other_site_by_the_river
9;81;other_site_by_the_river
9;82;other_site_by_the_river
9;84;other_site_by_the_river
9;84;other_site_by_the_river
9;86;other_site_by_the_river
9;86;other_site_by_the_river
9;88;other_site_by_the_river
9;88;other_site_by_the_river
9;90;other_site_by_the_river
9;90;other_site_by_the_river
9;92;other_site_by_the_river
9;94;other_site_by_the_river
9;95;other_site_by_the_river
9;97;other_site_by_the_river
9;97;other_site_by_the_river
9;102;other_site_by_the_river
9;102;other_site_by_the_river
9;103;other_site_by_the_river
9;103;other_site_by_the_river
9;105;other_site_by_the_river
10;68;other_site_by_the_river
10;71;other_site_by_the_river
10;72;other_site_by_the_river
10;72;other_site_by_the_river
10;73;other_site_by_the_river
10;75;other_site_by_the_river
10;75;other_site_by_the_river
10;79;other_site_by_the_river
10;82;other_site_by_the_river
10;82;other_site_by_the_river
10;82;other_site_by_the_river
10;84;other_site_by_the_river
10;85;other_site_by_the_river
10;86;other_site_by_the_river
10;86;other_site_by_the_river
10;87;other_site_by_the_river
10;90;other_site_by_the_river
10;92;other_site_by_the_river
10;92;other_site_by_the_river
10;93;other_site_by_the_river
10;93;other_site_by_the_river
10;93;other_site_by_the_river
10;95;other_site_by_the_river
10;95;other_site_by_the_river
10;96;other_site_by_the_river
10;97;other_site_by_the_river
10;100;other_site_by_the_river
10;100;other_site_by_the_river
10;101;other_site_by_the_river
11;66;other_site_by_the_river
11;75;other_site_by_the_river
11;76;other_site_by_the_river
11;78;other_site_by_the_river
11;81;other_site_by_the_river
11;82;other_site_by_the_river
11;84;other_site_by_the_river
11;84;other_site_by_the_river
11;84;other_site_by_the_river
11;85;other_site_by_the_river
11;85;other_site_by_the_river
11;86;other_site_by_the_river
11;86;other_site_by_the_river
11;86;other_site_by_the_river
11;87;other_site_by_the_river
11;87;other_site_by_the_river
11;88;other_site_by_the_river
11;88;other_site_by_the_river
11;90;other_site_by_the_river
11;90;other_site_by_the_river
11;91;other_site_by_the_river
11;91;other_site_by_the_river
11;91;other_site_by_the_river
11;93;other_site_by_the_river
11;93;other_site_by_the_river
11;95;other_site_by_the_river
11;95;other_site_by_the_river
11;95;other_site_by_the_river
11;96;other_site_by_the_river
11;96;other_site_by_the_river
11;97;other_site_by_the_river
11;97;other_site_by_the_river
11;97;other_site_by_the_river
11;97;other_site_by_the_river
11;97;other_site_by_the_river
11;97;other_site_by_the_river
11;97;other_site_by_the_river
11;98;other_site_by_the_river
11;98;other_site_by_the_river
11;98;other_site_by_the_river
11;98;other_site_by_the_river
11;101;other_site_by_the_river
11;101;other_site_by_the_river
11;101;other_site_by_the_river
11;101;other_site_by_the_river
11;102;other_site_by_the_river
11;102;other_site_by_the_river
11;103;other_site_by_the_river
11;103;other_site_by_the_river
11;106;other_site_by_the_river
11;107;other_site_by_the_river
11;109;other_site_by_the_river
12;73;other_site_by_the_river
12;81;other_site_by_the_river
12;83;other_site_by_the_river
12;85;other_site_by_the_river
12;85;other_site_by_the_river
12;89;other_site_by_the_river
12;89;other_site_by_the_river
12;92;other_site_by_the_river
12;93;other_site_by_the_river
12;94;other_site_by_the_river
12;94;other_site_by_the_river
12;94;other_site_by_the_river
12;94;other_site_by_the_river
12;96;other_site_by_the_river
12;96;other_site_by_the_river
12;97;other_site_by_the_river
12;98;other_site_by_the_river
12;99;other_site_by_the_river
12;101;other_site_by_the_river
12;101;other_site_by_the_river
12;101;other_site_by_the_river
12;102;other_site_by_the_river
12;102;other_site_by_the_river
12;104;other_site_by_the_river
12;105;other_site_by_the_river
12;105;other_site_by_the_river
12;105;other_site_by_the_river
12;105;other_site_by_the_river
12;107;other_site_by_the_river
12;109;other_site_by_the_river
13;67;other_site_by_the_river
13;77;other_site_by_the_river
13;78;other_site_by_the_river
13;80;other_site_by_the_river
13;86;other_site_by_the_river
13;86;other_site_by_the_river
13;89;other_site_by_the_river
13;89;other_site_by_the_river
13;91;other_site_by_the_river
13;94;other_site_by_the_river
13;95;other_site_by_the_river
13;95;other_site_by_the_river
13;96;other_site_by_the_river
13;96;other_site_by_the_river
13;96;other_site_by_the_river
13;96;other_site_by_the_river
13;97;other_site_by_the_river
13;97;other_site_by_the_river
13;97;other_site_by_the_river
13;98;other_site_by_the_river
13;99;other_site_by_the_river
13;99;other_site_by_the_river
13;99;other_site_by_the_river
13;101;other_site_by_the_river
13;102;other_site_by_the_river
13;102;other_site_by_the_river
13;102;other_site_by_the_river
13;102;other_site_by_the_river
13;102;other_site_by_the_river
13;102;other_site_by_the_river
13;103;other_site_by_the_river
13;103;other_site_by_the_river
13;106;other_site_by_the_river
13;108;other_site_by_the_river
